"vname","x.mni","y.mni","z.mni","anat_label","hemi","X7_networks"
232,61.6486,-19.9804,0.466614,"Right Superior Temporal Gyrus","R","SomMot"
233,53.9625,-13.9125,6.68125,"Right Superior Temporal Gyrus","R","SomMot"
234,39.0658,-18.3758,5.25891,"Right Insula Lobe","R","SomMot"
235,37.49,-7.88,14.6011,"Right Insula Lobe","R","SomMot"
236,33.8877,-21.0916,15.3565,"Right Insula Lobe","R","SomMot"
237,60.1216,-26.4886,12.9322,"Right Superior Temporal Gyrus","R","SomMot"
238,63.5978,-38.2905,14.7632,"Right Superior Temporal Gyrus","R","SomMot"
239,40.9487,-13.3855,18.9171,"Right Rolandic Operculum","R","SomMot"
240,40.7461,-29.3572,19.7663,"Right Rolandic Operculum","R","SomMot"
241,49.9362,-11.2215,14.0638,"Right Rolandic Operculum","R","SomMot"
242,58.3944,0.949432,10.6528,"Right Rolandic Operculum","R","SomMot"
243,47.2937,-23.0025,20.415,"Right Rolandic Operculum","R","SomMot"
244,60.8748,-14.0088,17.0905,"Right Postcentral Gyrus","R","SomMot"
245,59.9527,6.96414,30.996,"Right Precentral Gyrus","R","SomMot"
246,59.3587,-4.59622,27.7057,"Right Postcentral Gyrus","R","SomMot"
247,60.4713,-14.9247,31.2328,"Right Postcentral Gyrus","R","SomMot"
248,51.0559,-5.83994,39.0062,"Right Precentral Gyrus","R","SomMot"
249,54.2431,-17.763,41.8691,"Right Postcentral Gyrus","R","SomMot"
250,9.96667,-18.2788,42.9864,"Right Middle Cingulate Cortex","R","SomMot"
251,50.9776,-12.456,50.9209,"Right Precentral Gyrus","R","SomMot"
252,42.6618,-10.5889,50.4556,"Right Precentral Gyrus","R","SomMot"
253,47.0961,-26.3016,58.3398,"Right Postcentral Gyrus","R","SomMot"
254,5.54809,-10.187,51.8504,"Right SMA","R","SomMot"
255,40.809,-21.7215,57.1479,"Right Precentral Gyrus","R","SomMot"
256,34.4919,-19.1257,65.7493,"Right Precentral Gyrus","R","SomMot"
257,29.0667,-35.9333,66.95,"Right Postcentral Gyrus","R","SomMot"
258,28.2064,-43.9482,67.3768,"Right Postcentral Gyrus","R","SomMot"
259,31.0171,-28.2679,63.9507,"Right Postcentral Gyrus","R","SomMot"
260,3.40942,-26.3747,60.6853,"Right SMA","R","SomMot"
261,27.4762,-12.9577,68.5292,"Right Precentral Gyrus","R","SomMot"
262,7.98195,-41.6873,70.9612,"Right Paracentral Lobule","R","SomMot"
263,18.4183,-25.4659,68.8738,"Right Precentral Gyrus","R","SomMot"
264,18.65,-29.7167,70.75,"Right Precentral Gyrus","R","SomMot"
265,18.8718,-35.5744,74.6154,"Right Postcentral Gyrus","R","SomMot"
266,14.0694,-9.30602,72.1552,"Right Superior Frontal Gyrus","R","SomMot"
267,14.3131,-51.6921,74.5269,"Right Postcentral Gyrus","R","SomMot"
268,3.60522,-23.2138,73.4751,"Right Paracentral Lobule","R","SomMot"
269,13.4354,-22.0297,75.3598,"Right Precentral Gyrus","R","SomMot"
270,10.2392,-34.197,78.3127,"Right Paracentral Lobule","R","SomMot"
271,47.7225,-50.0059,-18.8249,"Right Inferior Temporal Gyrus","R","DorsAttn"
272,57.9367,-55.2033,-2.59667,"Right Inferior Temporal Gyrus","R","DorsAttn"
273,52.9437,-58.0899,15.3506,"Right Middle Temporal Gyrus","R","DorsAttn"
274,42.0801,-78.9088,30.2873,"Right Middle Occipital Gyrus","R","DorsAttn"
275,31.5318,-70.325,33.5716,"Right Middle Occipital Gyrus","R","DorsAttn"
276,56.4738,-23.8031,45.3346,"Right Postcentral Gyrus","R","DorsAttn"
277,17.1679,-80.942,48.6804,"Right Superior Parietal Lobule","R","DorsAttn"
278,41.1156,-40.8022,52.1414,"Right Inferior Parietal Lobule","R","DorsAttn"
279,42.819,-29.7354,45.3646,"Right Postcentral Gyrus","R","DorsAttn"
280,31.0723,-67.0257,50.5461,"Right Superior Parietal Lobule","R","DorsAttn"
281,35.06,-49.8929,47.8217,"Right Inferior Parietal Lobule","R","DorsAttn"
282,20.3167,-71.3668,51.7751,"Right Superior Parietal Lobule","R","DorsAttn"
283,32.6459,-39.4745,54.0959,"Right Postcentral Gyrus","R","DorsAttn"
284,32.2062,-55.2858,54.8307,"Right Inferior Parietal Lobule","R","DorsAttn"
285,6.303,-71.321,52.7451,"Right Precuneus","R","DorsAttn"
286,25.3,-62.8599,58.4086,"Right Superior Parietal Lobule","R","DorsAttn"
287,6.32119,-56.0185,61.3649,"Right Precuneus","R","DorsAttn"
288,13.1486,-67.2892,64.1689,"Right Precuneus","R","DorsAttn"
289,24.3269,-54.1611,68.4034,"Right Superior Parietal Lobule","R","DorsAttn"
290,38.5592,-3.77109,55.3781,"Right Middle Frontal Gyrus","R","DorsAttn"
291,26.6591,-5.58698,55.3227,"Right Superior Frontal Gyrus","R","DorsAttn"
292,22.8915,-6.08775,68.101,"Right Superior Frontal Gyrus","R","DorsAttn"
293,48.6113,8.76991,26.3008,"Right Inferior Frontal Gyrus (p. Opercularis)","R","DorsAttn"
294,59.1246,-48.4111,9.76746,"Right Middle Temporal Gyrus","R","SalVentAttn"
295,51.5368,-43.3076,16.9414,"Right Superior Temporal Gyrus","R","SalVentAttn"
296,60.733,-42.8588,26.8022,"Right SupraMarginal Gyrus","R","SalVentAttn"
297,58.3894,-32.4968,26.6731,"Right SupraMarginal Gyrus","R","SalVentAttn"
298,60.2015,-24.5802,24.866,"Right SupraMarginal Gyrus","R","SalVentAttn"
299,62.2305,-27.0322,39.9122,"Right SupraMarginal Gyrus","R","SalVentAttn"
300,61.174,-36.7585,41.2539,"Right SupraMarginal Gyrus","R","SalVentAttn"
301,51.0634,3.49527,42.7565,"Right Precentral Gyrus","R","SalVentAttn"
302,39.402,6.27777,-16.6626,"Within 2 mm: Right Temporal Pole","R","SalVentAttn"
303,40.4042,9.0025,-3.28463,"Right Insula Lobe","R","SalVentAttn"
304,39.9958,-10.0226,-4.47947,"Right Insula Lobe","R","SalVentAttn"
305,38.8147,-0.698135,5.90338,"Right Insula Lobe","R","SalVentAttn"
306,36.4989,22.8957,4.05852,"Right Insula Lobe","R","SalVentAttn"
307,37.8023,6.76192,11.3638,"Right Insula Lobe","R","SalVentAttn"
308,49.3008,5.24242,3.84568,"Right Insula Lobe","R","SalVentAttn"
309,53.6427,11.6484,11.4833,"Right Inferior Frontal Gyrus (p. Opercularis)","R","SalVentAttn"
310,31.5551,47.2392,26.4502,"Right Middle Frontal Gyrus","R","SalVentAttn"
311,6.58636,18.2773,36.5406,"Right Middle Cingulate Cortex","R","SalVentAttn"
312,6.41973,2.40479,43.1546,"Right Middle Cingulate Cortex","R","SalVentAttn"
313,10.8255,-35.7918,45.3567,"Right Middle Cingulate Cortex","R","SalVentAttn"
314,4.5905,8.43098,59.0483,"Right SMA","R","SalVentAttn"
315,8.65291,-44.8743,56.8432,"Right Precuneus","R","SalVentAttn"
316,9.58334,-33.0392,53.5965,"Right Paracentral Lobule","R","SalVentAttn"
317,4.8449,-3.62502,66.7792,"Right SMA","R","SalVentAttn"
318,13.5234,3.00569,72.0791,"Right Superior Frontal Gyrus","R","SalVentAttn"
319,12.0864,24.0318,-20.9227,"Right Rectal Gyrus","R","Limbic"
320,21.72,22.76,-21.15,"Right Inferior Frontal Gyrus (p. Orbitalis)","R","Limbic"
321,6.26371,46.9079,-23.9779,"Right Rectal Gyrus","R","Limbic"
322,18.3104,44.0403,-19.2032,"Right Superior Orbital Gyrus","R","Limbic"
323,3.4992,22.5083,-21.6227,"Right Rectal Gyrus","R","Limbic"
324,7.14265,61.9197,-17.3757,"Right Rectal Gyrus","R","Limbic"
325,25.3,-0.447983,-36.1778,"Right ParaHippocampal Gyrus","R","Limbic"
326,49.8779,-9.04071,-35.0337,"Right Inferior Temporal Gyrus","R","Limbic"
327,35.5881,16.8042,-37.6693,"Right Medial Temporal Pole","R","Limbic"
328,39.1139,-14.6978,-29.5195,"Right Fusiform Gyrus","R","Limbic"
329,27.7195,11.9124,-30.3618,"Right ParaHippocampal Gyrus","R","Limbic"
330,48.76,-27.873,-25.913,"Right Inferior Temporal Gyrus","R","Limbic"
331,20.6243,-18.802,-25.7454,"Within 1 mm: Right ParaHippocampal Gyrus","R","Limbic"
332,51.8314,-57.1034,45.868,"Right Inferior Parietal Lobule","R","FPN"
333,53.4692,-42.9864,50.502,"Right Inferior Parietal Lobule","R","FPN"
334,34.3975,-74.2134,45.7253,"Right Superior Occipital Gyrus","R","FPN"
335,52.1682,-34.6646,53.3155,"Right Inferior Parietal Lobule","R","FPN"
336,44.1081,-49.5323,47.9371,"Right Inferior Parietal Lobule","R","FPN"
337,38.7227,-60.3703,50.0203,"Right Angular Gyrus","R","FPN"
