"roi"	"label"	"coordinates"
124	"Left Medial Temporal Pole"	"-48 mm [L],   12 mm [A],  -34 mm [I] {MNI}"
125	"Left Medial Temporal Pole"	"-35 mm [L],   12 mm [A],  -31 mm [I] {MNI}"
126	"Left ParaHippocampal Gyrus"	"-24 mm [L],  -21 mm [P],  -26 mm [I] {MNI}"
127	"Left Inferior Parietal Lobule"	"-33 mm [L],  -77 mm [P],   43 mm [S] {MNI}"
128	"Within 5 mm: Left Inferior Parietal Lobule"	"-65 mm [L],  -41 mm [P],   43 mm [S] {MNI}"
129	"Within 1 mm: Left Inferior Parietal Lobule"	"-57 mm [L],  -55 mm [P],   43 mm [S] {MNI}"
130	"Left Superior Parietal Lobule"	"-37 mm [L],  -65 mm [P],   52 mm [S] {MNI}"
131	"Left Inferior Parietal Lobule"	"-48 mm [L],  -52 mm [P],   50 mm [S] {MNI}"
132	"Left Inferior Parietal Lobule"	"-54 mm [L],  -37 mm [P],   49 mm [S] {MNI}"
133	"Left Middle Temporal Gyrus"	"-63 mm [L],  -54 mm [P],   -9 mm [I] {MNI}"
134	"Left Middle Orbital Gyrus"	"-32 mm [L],   51 mm [A],  -16 mm [I] {MNI}"
135	"Within 1 mm: Left Middle Orbital Gyrus"	"-47 mm [L],   48 mm [A],  -11 mm [I] {MNI}"
136	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-54 mm [L],   31 mm [A],    9 mm [S] {MNI}"
137	"Left Middle Frontal Gyrus"	"-45 mm [L],   50 mm [A],    4 mm [S] {MNI}"
138	"Left Middle Frontal Gyrus"	"-33 mm [L],   58 mm [A],    7 mm [S] {MNI}"
139	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-49 mm [L],   35 mm [A],   20 mm [S] {MNI}"
140	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-49 mm [L],   17 mm [A],   31 mm [S] {MNI}"
141	"Left Precentral Gyrus"	"-44 mm [L],    5 mm [A],   37 mm [S] {MNI}"
142	"Left Middle Frontal Gyrus"	"-44 mm [L],   24 mm [A],   44 mm [S] {MNI}"
143	"Left Insula Lobe"	"-36 mm [L],   17 mm [A],  -10 mm [I] {MNI}"
144	"Left Superior Parietal Lobule"	"-12 mm [L],  -81 mm [P],   46 mm [S] {MNI}"
145	"Left Precuneus"	"-6 mm [L],  -66 mm [P],   54 mm [S] {MNI}"
146	"Left Anterior Cingulate Cortex"	"-5 mm [L],   10 mm [A],   29 mm [S] {MNI}"
147	"Within 1 mm: Left Middle Cingulate Cortex"	"-6 mm [L],  -20 mm [P],   31 mm [S] {MNI}"
148	"Left Superior Medial Gyrus"	"-6 mm [L],   26 mm [A],   47 mm [S] {MNI}"
149	"Left Inferior Temporal Gyrus"	"-60 mm [L],   -8 mm [P],  -29 mm [I] {MNI}"
150	"Left Inferior Temporal Gyrus"	"-67 mm [L],  -26 mm [P],  -19 mm [I] {MNI}"
151	"Left Inferior Temporal Gyrus"	"-63 mm [L],  -42 mm [P],  -17 mm [I] {MNI}"
152	"Left Middle Temporal Gyrus"	"-61 mm [L],  -13 mm [P],  -13 mm [I] {MNI}"
153	"Left Temporal Pole"	"-57 mm [L],    5 mm [A],  -11 mm [I] {MNI}"
154	"Left Middle Temporal Gyrus"	"-65 mm [L],  -39 mm [P],   -1 mm [I] {MNI}"
155	"Left Middle Temporal Gyrus"	"-56 mm [L],  -26 mm [P],   -4 mm [I] {MNI}"
156	"Left Middle Temporal Gyrus"	"-65 mm [L],  -14 mm [P],   -3 mm [I] {MNI}"
157	"Left Middle Temporal Gyrus"	"-67 mm [L],  -34 mm [P],    6 mm [S] {MNI}"
158	"Left Middle Temporal Gyrus"	"-58 mm [L],  -46 mm [P],    5 mm [S] {MNI}"
159	"Left Superior Temporal Gyrus"	"-63 mm [L],  -50 mm [P],   15 mm [S] {MNI}"
160	"Left Middle Temporal Gyrus"	"-49 mm [L],  -61 mm [P],   15 mm [S] {MNI}"
161	"Left Middle Occipital Gyrus"	"-42 mm [L],  -85 mm [P],   26 mm [S] {MNI}"
162	"Left Angular Gyrus"	"-49 mm [L],  -69 mm [P],   24 mm [S] {MNI}"
163	"Left Angular Gyrus"	"-57 mm [L],  -61 mm [P],   25 mm [S] {MNI}"
164	"Within 1 mm: Left Middle Occipital Gyrus"	"-44 mm [L],  -77 mm [P],   40 mm [S] {MNI}"
165	"Within 2 mm: Left Angular Gyrus"	"-50 mm [L],  -66 mm [P],   47 mm [S] {MNI}"
166	"Left Inferior Frontal Gyrus (p. Orbitalis)"	"-39 mm [L],   23 mm [A],  -17 mm [I] {MNI}"
167	"Left Inferior Frontal Gyrus (p. Orbitalis)"	"-42 mm [L],   36 mm [A],  -15 mm [I] {MNI}"
168	"Left Rectal Gyrus"	"-7 mm [L],   55 mm [A],  -17 mm [I] {MNI}"
169	"Left Mid Orbital Gyrus"	"-8 mm [L],   34 mm [A],  -12 mm [I] {MNI}"
170	"Left Inferior Frontal Gyrus (p. Orbitalis)"	"-50 mm [L],   31 mm [A],  -12 mm [I] {MNI}"
171	"Left Middle Orbital Gyrus"	"-31 mm [L],   61 mm [A],   -8 mm [I] {MNI}"
172	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-51 mm [L],   26 mm [A],   -0 mm [I] {MNI}"
173	"Left Mid Orbital Gyrus"	"-9 mm [L],   58 mm [A],   -3 mm [I] {MNI}"
174	"Left Anterior Cingulate Cortex"	"-8 mm [L],   43 mm [A],    3 mm [S] {MNI}"
175	"Left Inferior Frontal Gyrus (p. Opercularis)"	"-57 mm [L],   17 mm [A],   12 mm [S] {MNI}"
176	"Left Superior Frontal Gyrus"	"-20 mm [L],   69 mm [A],    1 mm [S] {MNI}"
177	"Left Anterior Cingulate Cortex"	"-8 mm [L],   34 mm [A],   21 mm [S] {MNI}"
178	"Left Superior Medial Gyrus"	"-7 mm [L],   54 mm [A],   22 mm [S] {MNI}"
179	"Left Superior Frontal Gyrus"	"-19 mm [L],   61 mm [A],   24 mm [S] {MNI}"
180	"Left Middle Frontal Gyrus"	"-31 mm [L],   49 mm [A],   29 mm [S] {MNI}"
181	"Left Middle Frontal Gyrus"	"-31 mm [L],   26 mm [A],   46 mm [S] {MNI}"
182	"Left Middle Frontal Gyrus"	"-46 mm [L],   11 mm [A],   53 mm [S] {MNI}"
183	"Left Superior Frontal Gyrus"	"-12 mm [L],   43 mm [A],   51 mm [S] {MNI}"
184	"Left Superior Frontal Gyrus"	"-24 mm [L],   35 mm [A],   48 mm [S] {MNI}"
185	"Left Precentral Gyrus"	"-45 mm [L],   -1 mm [P],   54 mm [S] {MNI}"
186	"Left Middle Frontal Gyrus"	"-34 mm [L],    7 mm [A],   62 mm [S] {MNI}"
187	"Left Middle Frontal Gyrus"	"-28 mm [L],   13 mm [A],   59 mm [S] {MNI}"
188	"Left Superior Frontal Gyrus"	"-17 mm [L],   16 mm [A],   67 mm [S] {MNI}"
189	"Left SMA"	"-8 mm [L],    6 mm [A],   68 mm [S] {MNI}"
190	"Left Precuneus"	"-10 mm [L],  -52 mm [P],   11 mm [S] {MNI}"
191	"Left Cuneus"	"-15 mm [L],  -62 mm [P],   21 mm [S] {MNI}"
192	"Left Precuneus"	"-6 mm [L],  -55 mm [P],   21 mm [S] {MNI}"
193	"Left Posterior Cingulate Cortex"	"-8 mm [L],  -41 mm [P],   26 mm [S] {MNI}"
194	"Left Precuneus"	"-13 mm [L],  -72 mm [P],   34 mm [S] {MNI}"
195	"Left Precuneus"	"-7 mm [L],  -63 mm [P],   32 mm [S] {MNI}"
196	"Left Middle Cingulate Cortex"	"-9 mm [L],  -47 mm [P],   35 mm [S] {MNI}"
197	"Left Middle Cingulate Cortex"	"-6 mm [L],  -37 mm [P],   41 mm [S] {MNI}"
198	"Left Middle Cingulate Cortex"	"-4 mm [L],  -15 mm [P],   40 mm [S] {MNI}"
199	"Left Precuneus"	"-5 mm [L],  -73 mm [P],   42 mm [S] {MNI}"
200	"Left Precuneus"	"-8 mm [L],  -55 mm [P],   46 mm [S] {MNI}"
201	"Right Fusiform Gyrus"	"32 mm [R],  -38 mm [P],  -23 mm [I] {MNI}"
202	"Right Fusiform Gyrus"	"29 mm [R],  -31 mm [P],  -18 mm [I] {MNI}"
203	"Right Fusiform Gyrus"	"32 mm [R],  -60 mm [P],  -16 mm [I] {MNI}"
204	"Right Inferior Occipital Gyrus"	"36 mm [R],  -77 mm [P],  -15 mm [I] {MNI}"
205	"Right Lingual Gyrus"	"24 mm [R],  -57 mm [P],   -8 mm [I] {MNI}"
206	"Right Lingual Gyrus"	"21 mm [R],  -80 mm [P],  -10 mm [I] {MNI}"
207	"Right Lingual Gyrus"	"16 mm [R],  -36 mm [P],  -12 mm [I] {MNI}"
208	"Right Lingual Gyrus"	"17 mm [R],  -90 mm [P],  -12 mm [I] {MNI}"
209	"Right Inferior Temporal Gyrus"	"49 mm [R],  -66 mm [P],  -11 mm [I] {MNI}"
210	"Right Inferior Occipital Gyrus"	"41 mm [R],  -86 mm [P],  -13 mm [I] {MNI}"
211	"Right Lingual Gyrus"	"6 mm [R],  -77 mm [P],   -3 mm [I] {MNI}"
212	"Right Lingual Gyrus"	"11 mm [R],  -62 mm [P],   -2 mm [I] {MNI}"
213	"Right Lingual Gyrus"	"22 mm [R],  -99 mm [P],  -10 mm [I] {MNI}"
214	"Right Lingual Gyrus"	"16 mm [R],  -45 mm [P],   -1 mm [I] {MNI}"
215	"Left Calcarine Gyrus"	"7 mm [R],  -94 mm [P],   -2 mm [I] {MNI}"
