"roi"	"label"	"coordinates"
118	"Left Middle Temporal Gyrus"	"-58 mm [L],  -30 mm [P],   -4 mm [I] {MNI}"
119	"Right Middle Temporal Gyrus"	"65 mm [R],  -31 mm [P],   -9 mm [I] {MNI}"
120	"Left Middle Temporal Gyrus"	"-68 mm [L],  -41 mm [P],   -5 mm [I] {MNI}"
121	"Right Superior Medial Gyrus"	"13 mm [R],   30 mm [A],   59 mm [S] {MNI}"
122	"Right Anterior Cingulate Cortex"	"12 mm [R],   36 mm [A],   20 mm [S] {MNI}"
123	"Right Middle Temporal Gyrus"	"52 mm [R],   -2 mm [P],  -16 mm [I] {MNI}"
124	"Left ParaHippocampal Gyrus"	"-26 mm [L],  -40 mm [P],   -8 mm [I] {MNI}"
125	"Right Fusiform Gyrus"	"27 mm [R],  -37 mm [P],  -13 mm [I] {MNI}"
126	"Left Fusiform Gyrus"	"-34 mm [L],  -38 mm [P],  -16 mm [I] {MNI}"
127	"Right Cerebellum"	"28 mm [R],  -77 mm [P],  -32 mm [I] {MNI}"
128	"Right Middle Temporal Gyrus"	"52 mm [R],    7 mm [A],  -30 mm [I] {MNI}"
129	"Left Middle Temporal Gyrus"	"-53 mm [L],    3 mm [A],  -27 mm [I] {MNI}"
130	"Right Angular Gyrus"	"47 mm [R],  -50 mm [P],   29 mm [S] {MNI}"
131	"Left Middle Temporal Gyrus"	"-49 mm [L],  -42 mm [P],    1 mm [S] {MNI}"
132	"Left Insula Lobe"	"-31 mm [L],   19 mm [A],  -19 mm [I] {MNI}"
133	"Left Posterior Cingulate Cortex"	"-2 mm [L],  -35 mm [P],   31 mm [S] {MNI}"
134	"Left Precuneus"	"-7 mm [L],  -71 mm [P],   42 mm [S] {MNI}"
135	"Right Precuneus"	"11 mm [R],  -66 mm [P],   42 mm [S] {MNI}"
136	"Right Precuneus"	"4 mm [R],  -48 mm [P],   51 mm [S] {MNI}"
137	"Left Inferior Frontal Gyrus (p. Orbitalis)"	"-46 mm [L],   31 mm [A],  -13 mm [I] {MNI}"
138	"Left SMA"	"-10 mm [L],   11 mm [A],   67 mm [S] {MNI}"
139	"Right Inferior Frontal Gyrus (p. Orbitalis)"	"49 mm [R],   35 mm [A],  -12 mm [I] {MNI}"
140	"Right Lingual Gyrus"	"8 mm [R],  -91 mm [P],   -7 mm [I] {MNI}"
141	"Right Lingual Gyrus"	"17 mm [R],  -91 mm [P],  -14 mm [I] {MNI}"
142	"Left Lingual Gyrus"	"-12 mm [L],  -95 mm [P],  -13 mm [I] {MNI}"
143	"Right Lingual Gyrus"	"18 mm [R],  -47 mm [P],  -10 mm [I] {MNI}"
144	"Right Middle Occipital Gyrus"	"40 mm [R],  -72 mm [P],   14 mm [S] {MNI}"
145	"Right Calcarine Gyrus"	"8 mm [R],  -72 mm [P],   11 mm [S] {MNI}"
146	"Left Calcarine Gyrus"	"-8 mm [L],  -81 mm [P],    7 mm [S] {MNI}"
147	"Left Middle Occipital Gyrus"	"-28 mm [L],  -79 mm [P],   19 mm [S] {MNI}"
148	"Right Lingual Gyrus"	"20 mm [R],  -66 mm [P],    2 mm [S] {MNI}"
149	"Left Middle Occipital Gyrus"	"-24 mm [L],  -91 mm [P],   19 mm [S] {MNI}"
150	"Right Lingual Gyrus"	"27 mm [R],  -59 mm [P],   -9 mm [I] {MNI}"
151	"Left Lingual Gyrus"	"-15 mm [L],  -72 mm [P],   -8 mm [I] {MNI}"
